country;group;week;zscore
UK (Wales);Total;2019-07;0
UK (Wales);Total;2019-08;-0.84
UK (Wales);Total;2019-09;-2.26
UK (Wales);Total;2019-10;-1.98
UK (Wales);Total;2019-11;-0.19
UK (Wales);Total;2019-12;-1.29
UK (Wales);Total;2019-13;-1.3
UK (Wales);Total;2019-14;-0.34
UK (Wales);Total;2019-15;0.96
UK (Wales);Total;2019-16;1.58
UK (Wales);Total;2019-17;-0.69
UK (Wales);Total;2019-18;0.42
UK (Wales);Total;2019-19;0.17
UK (Wales);Total;2019-20;0.92
UK (Wales);Total;2019-21;-2.08
UK (Wales);Total;2019-22;0.41
UK (Wales);Total;2019-23;-0.05
UK (Wales);Total;2019-24;-0.85
UK (Wales);Total;2019-25;-0.76
UK (Wales);Total;2019-26;0.21
UK (Wales);Total;2019-27;-0.03
UK (Wales);Total;2019-28;-0.01
UK (Wales);Total;2019-29;-0.62
UK (Wales);Total;2019-30;0.92
UK (Wales);Total;2019-31;-1.09
UK (Wales);Total;2019-32;0.53
UK (Wales);Total;2019-33;-0.93
UK (Wales);Total;2019-34;1.46
UK (Wales);Total;2019-35;0.02
UK (Wales);Total;2019-36;-0.55
UK (Wales);Total;2019-37;0.39
UK (Wales);Total;2019-38;0.83
UK (Wales);Total;2019-39;0.95
UK (Wales);Total;2019-40;-0.79
UK (Wales);Total;2019-41;0.74
UK (Wales);Total;2019-42;1.89
UK (Wales);Total;2019-43;-0.22
UK (Wales);Total;2019-44;-0.4
UK (Wales);Total;2019-45;-0.31
UK (Wales);Total;2019-46;0.79
UK (Wales);Total;2019-47;0.62
UK (Wales);Total;2019-48;0.59
UK (Wales);Total;2019-49;0.12
UK (Wales);Total;2019-50;0.42
UK (Wales);Total;2019-51;1.96
UK (Wales);Total;2019-52;1.96
UK (Wales);Total;2020-01;3.25
UK (Wales);Total;2020-02;1.34
UK (Wales);Total;2020-03;-0.63
UK (Wales);Total;2020-04;-0.31
UK (Wales);Total;2020-05;1.35
UK (Wales);Total;2020-06;-0.38
UK (Wales);Total;2020-07;-0.75
UK (Wales);Total;2020-08;-2.29
UK (Wales);Total;2020-09;-2.32
UK (Wales);Total;2020-10;-0.52
UK (Wales);Total;2020-11;-0.23
UK (Wales);Total;2020-12;0.72
UK (Wales);Total;2020-13;5.1
UK (Wales);Total;2020-14;8.87
UK (Wales);Total;2020-15;14.13
UK (Wales);Total;2020-16;12.39
UK (Wales);Total;2020-17;10.05
UK (Wales);Total;2020-18;5.99
UK (Wales);Total;2020-19;4.79
UK (Wales);Total;2020-20;2.63
UK (Wales);Total;2020-21;1.04
UK (Wales);Total;2020-22;2.1
UK (Wales);Total;2020-23;1.03
UK (Wales);Total;2020-24;1.37
UK (Wales);Total;2020-25;-0.25
UK (Wales);Total;2020-26;1.74
UK (Wales);Total;2020-27;-0.28
UK (Wales);Total;2020-28;-0.04
UK (Wales);Total;2020-29;0.27
UK (Wales);Total;2020-30;0
UK (Wales);Total;2020-31;-0.06
UK (Wales);Total;2020-32;1.2
UK (Wales);Total;2020-33;1.67
UK (Wales);Total;2020-34;0.25
UK (Wales);Total;2020-35;-1.15
UK (Wales);Total;2020-36;-2.09
UK (Wales);Total;2020-37;-1.38
UK (Wales);Total;2020-38;0.21
UK (Wales);Total;2020-39;2.21
UK (Wales);Total;2020-40;0.3
UK (Wales);Total;2020-41;1.91
UK (Wales);Total;2020-42;2.19
UK (Wales);Total;2020-43;10.49
UK (Wales);Total;2020-44;16.05
UK (Wales);Total;2020-45;4.09
UK (Wales);Total;2020-46;4.22
UK (Wales);Total;2020-47;4.41
UK (Wales);Total;2020-48;3.15
UK (Wales);Total;2020-49;4.08
UK (Wales);Total;2020-50;4.84
UK (Wales);Total;2020-51;6.7
UK (Wales);Total;2020-52;5.29
UK (Wales);Total;2020-53;8.21
UK (Wales);Total;2021-01;8.56
UK (Wales);Total;2021-02;9.38
UK (Wales);Total;2021-03;6.47
UK (Wales);Total;2021-04;3.85
UK (Wales);Total;2021-05;1.7
UK (Wales);Total;2021-06;2.32
UK (Wales);Total;2021-07;0.93
UK (Wales);Total;2021-08;-2.26
UK (Wales);Total;2021-09;-1.93
UK (Wales);Total;2021-10;-2.41
UK (Wales);Total;2021-11;-2.28
UK (Wales);Total;2021-12;-3.13
UK (Wales);Total;2021-13;-2.36
UK (Wales);Total;2021-14;-2.64
UK (Wales);Total;2021-15;-3.41
UK (Wales);Total;2021-16;-1.32
UK (Wales);Total;2021-17;-2.21
UK (Wales);Total;2021-18;-1
UK (Wales);Total;2021-19;-1.6
UK (Wales);Total;2021-20;-1.03
UK (Wales);Total;2021-21;-1.39
UK (Wales);Total;2021-22;-0.97
UK (Wales);Total;2021-23;-1.27
UK (Wales);Total;2021-24;0.16
UK (Wales);Total;2021-25;-0.34
UK (Wales);Total;2021-26;1.04
UK (Wales);Total;2021-27;-0.71
UK (Wales);Total;2021-28;2.04
UK (Wales);Total;2021-29;4.66
UK (Wales);Total;2021-30;1.66
UK (Wales);Total;2021-31;2.26
UK (Wales);Total;2021-32;-0.28
UK (Wales);Total;2021-33;0.3
UK (Wales);Total;2021-34;0.55
UK (Wales);Total;2021-35;0.77
UK (Wales);Total;2021-36;1.91
UK (Wales);Total;2021-37;3.13
UK (Wales);Total;2021-38;0.36
UK (Wales);Total;2021-39;3.57
UK (Wales);Total;2021-40;2.51
UK (Wales);Total;2021-41;1.95
UK (Wales);Total;2021-42;3.61
UK (Wales);Total;2021-43;3.32
UK (Wales);Total;2021-44;0.99
UK (Wales);Total;2021-45;2.44
